family,pattern_id,supported,total_count,success_count,failure_count,failure_rate,failure_lift,dominant_failure_key,dominant_failure_count,mean_reward,mean_steps,termination_counts,failure_key_counts,failure_key_lifts
start_behavior_context,start_region=x_pos__y_neg|start_theta_bin=sector_2|path_angle_bin=sector_6|near_count_bin=0|far_count_bin=1|medhigh_count_bin=0,True,121,112,9,0.0743801652892562,0.6280056816958814,timeout,8,-3.293658971079585,3.512396694214876,"{""collision"": 1, ""success"": 112, ""timeout"": 8}","{""collision_tblock_early"": 1, ""timeout"": 8}","{""collision_rod_early"": 0.0, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 0.11944819218365307, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 1.960164144065047}"
start_behavior_context,start_region=x_neg__y_mid|start_theta_bin=sector_6|path_angle_bin=sector_3|near_count_bin=0|far_count_bin=2|medhigh_count_bin=0,True,2226,2061,165,0.07412398921832884,0.6258427390964497,timeout,63,-5.151808791036402,3.7933513027852652,"{""collision"": 97, ""fall"": 5, ""success"": 2061, ""timeout"": 63}","{""collision_rod_early"": 36, ""collision_rod_mid"": 3, ""collision_tblock_early"": 53, ""collision_tblock_late"": 3, ""collision_tblock_mid"": 2, ""fall"": 5, ""timeout"": 63}","{""collision_rod_early"": 1.3892685432623213, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.8809075488167061, ""collision_tblock_early"": 0.34412455367195294, ""collision_tblock_late"": 8.00973345312968, ""collision_tblock_mid"": 1.2758867447463207, ""fall"": 1.779940767362151, ""timeout"": 0.8390796984618066}"
start_behavior_context,start_region=x_pos__y_neg|start_theta_bin=sector_1|path_angle_bin=sector_6|near_count_bin=0|far_count_bin=2|medhigh_count_bin=0,True,2121,1964,157,0.07402168788307402,0.6249789897415611,collision_tblock_early,78,-3.024522113950577,3.0353606789250356,"{""collision"": 89, ""fall"": 1, ""success"": 1964, ""timeout"": 67}","{""collision_rod_early"": 7, ""collision_rod_mid"": 3, ""collision_tblock_early"": 78, ""collision_tblock_mid"": 1, ""fall"": 1, ""timeout"": 67}","{""collision_rod_early"": 0.2835085971123879, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.9245168334115925, ""collision_tblock_early"": 0.5315191126022243, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.6695247274411386, ""fall"": 0.37361132938690694, ""timeout"": 0.9365305702460712}"
start_behavior_context,start_region=x_neg__y_neg|start_theta_bin=sector_4|path_angle_bin=sector_5|near_count_bin=0|far_count_bin=1|medhigh_count_bin=0,True,122,113,9,0.07377049180327869,0.6228580941409971,timeout,5,-3.040970896638573,3.278688524590164,"{""collision"": 4, ""success"": 113, ""timeout"": 5}","{""collision_rod_early"": 3, ""collision_tblock_early"": 1, ""timeout"": 5}","{""collision_rod_early"": 2.1123714325832834, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 0.11846910864116411, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 1.2150607655321244}"
start_behavior_context,start_region=x_neg__y_pos|start_theta_bin=sector_4|path_angle_bin=sector_2|near_count_bin=0|far_count_bin=2|medhigh_count_bin=0,True,2103,1948,155,0.07370423204945316,0.6222986506158533,timeout,74,-2.9090052793737495,3.0722776985259155,"{""collision"": 80, ""fall"": 1, ""success"": 1948, ""timeout"": 74}","{""collision_rod_early"": 23, ""collision_rod_late"": 1, ""collision_rod_mid"": 3, ""collision_tblock_early"": 53, ""fall"": 1, ""timeout"": 74}","{""collision_rod_early"": 0.9395013852954024, ""collision_rod_late"": 2.211705844652567, ""collision_rod_mid"": 0.9324299589472124, ""collision_tblock_early"": 0.36425166736745945, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.3768091439037706, ""timeout"": 1.0432304889418944}"
start_behavior_context,start_region=x_neg__y_mid|start_theta_bin=sector_6|path_angle_bin=sector_4|near_count_bin=1|far_count_bin=1|medhigh_count_bin=0,True,177,164,13,0.07344632768361582,0.6201211156984441,collision_rod_early,6,-5.317784938580563,3.7175141242937855,"{""collision"": 10, ""success"": 164, ""timeout"": 3}","{""collision_rod_early"": 6, ""collision_tblock_early"": 4, ""timeout"": 3}","{""collision_rod_early"": 2.9119696584763908, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 0.32662669501066716, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 0.5024997064234548}"
start_behavior_context,start_region=x_mid__y_neg|start_theta_bin=sector_7|path_angle_bin=sector_5|near_count_bin=0|far_count_bin=2|medhigh_count_bin=0,True,2207,2046,161,0.0729497054825555,0.6159280413390458,collision_tblock_early,77,-4.339155061057754,3.536927956502039,"{""collision"": 96, ""success"": 2046, ""timeout"": 65}","{""collision_rod_early"": 13, ""collision_rod_mid"": 2, ""collision_tblock_early"": 77, ""collision_tblock_mid"": 4, ""timeout"": 65}","{""collision_rod_early"": 0.5059992587338903, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.5923275045056601, ""collision_tblock_early"": 0.5042586346058431, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 2.573741634621939, ""fall"": 0.0, ""timeout"": 0.8731700834317849}"
start_behavior_context,start_region=x_neg__y_neg|start_theta_bin=sector_0|path_angle_bin=sector_4|near_count_bin=1|far_count_bin=1|medhigh_count_bin=0,True,234,217,17,0.07264957264957266,0.6133939635557588,collision_tblock_early,8,-3.2078619140278866,3.286324786324786,"{""collision"": 9, ""success"": 217, ""timeout"": 8}","{""collision_rod_early"": 1, ""collision_tblock_early"": 8, ""timeout"": 8}","{""collision_rod_early"": 0.36710728600450226, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 0.49412756424690674, ""collision_tblock_late"": 0.0, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 1.0135891514182507}"
start_behavior_context,start_region=x_neg__y_neg|start_theta_bin=sector_5|path_angle_bin=sector_5|near_count_bin=1|far_count_bin=1|medhigh_count_bin=0,True,207,192,15,0.07246376811594203,0.611825181040271,timeout,7,-3.7361494797903383,3.5942028985507246,"{""collision"": 8, ""success"": 192, ""timeout"": 7}","{""collision_rod_early"": 2, ""collision_tblock_early"": 5, ""collision_tblock_late"": 1, ""timeout"": 7}","{""collision_rod_early"": 0.8299816900971356, ""collision_rod_late"": 0.0, ""collision_rod_mid"": 0.0, ""collision_tblock_early"": 0.3491118660440102, ""collision_tblock_late"": 28.71121846484165, ""collision_tblock_mid"": 0.0, ""fall"": 0.0, ""timeout"": 1.0025718780332697}"
start_behavior_context,start_region=x_mid__y_neg|start_theta_bin=sector_6|path_angle_bin=sector_5|near_count_bin=0|far_count_bin=2|medhigh_count_bin=0,True,2252,2090,162,0.0719360568383659,0.6073696157786989,timeout,69,-4.641790817698684,3.681172291296625,"{""collision"": 93, ""success"": 2090, ""timeout"": 69}","{""collision_rod_early"": 27, ""collision_rod_late"": 1, ""collision_rod_mid"": 9, ""collision_tblock_early"": 49, ""collision_tblock_late"": 1, ""collision_tblock_mid"": 6, ""timeout"": 69}","{""collision_rod_early"": 1.0299217730801267, ""collision_rod_late"": 2.0653718433855897, ""collision_rod_mid"": 2.612211638986662, ""collision_tblock_early"": 0.3144797208955946, ""collision_tblock_late"": 2.639086244326031, ""collision_tblock_mid"": 3.783468775051478, ""fall"": 0.0, ""timeout"": 0.9083820181393802}"
